,preprocessed_name,NAME,CITY_x,STATE
1232,stephenscollege,STEPHENS COLLEGE,Columbia,MO
1238,williamjewellcollege,WILLIAM JEWELL COLLEGE,Liberty,MO
1587,blackfeetcommunitycollege,BLACKFEET COMMUNITY COLLEGE,Browning,MT
1589,carrollcollege,CARROLL COLLEGE,Helena,MT
1594,milescommunitycollege,MILES COMMUNITY COLLEGE,Miles City,MT
1596,montanastateuniversity,MONTANA STATE UNIVERSITY,Bozeman,MT
1598,montanastateuniversitynorthern,MONTANA STATE UNIVERSITY-NORTHERN,Havre,MT
1600,salishkootenaicollege,SALISH KOOTENAI COLLEGE,Pablo,MT
1588,stonechildcollege,STONE CHILD COLLEGE,Box Elder,MT
1597,universitymontana,THE UNIVERSITY OF MONTANA,Missoula,MT
329,alamancecommunitycollege,ALAMANCE COMMUNITY COLLEGE,Graham,NC
246,beaufortcountycommunitycollege,BEAUFORT COUNTY COMMUNITY COLLEGE,Washington,NC
247,belmontabbeycollege,BELMONT ABBEY COLLEGE,Belmont,NC
248,bennettcollege,BENNETT COLLEGE,Greensboro,NC
249,bladencommunitycollege,BLADEN COMMUNITY COLLEGE,Dublin,NC
240,blueridgecommunitycollege,BLUE RIDGE COMMUNITY COLLEGE,Flat Rock,NC
257,centralcarolinacommunitycollege,CENTRAL CAROLINA COMMUNITY COLLEGE,Sanford,NC
258,centralpiedmontcommunitycollege,CENTRAL PIEDMONT COMMUNITY COLLEGE,Charlotte,NC
260,clevelandcommunitycollege,CLEVELAND COMMUNITY COLLEGE,Shelby,NC
265,dukeuniversity,DUKE UNIVERSITY,Durham,NC
268,edgecombecommunitycollege,EDGECOMBE COMMUNITY COLLEGE,Tarboro,NC
274,gardnerwebbuniversity,GARDNER-WEBB UNIVERSITY,Boiling Springs,NC
275,gastoncollege,GASTON COLLEGE,Dallas,NC
277,guilfordcollege,GUILFORD COLLEGE,Greensboro,NC
279,halifaxcommunitycollege,HALIFAX COMMUNITY COLLEGE,Weldon,NC
281,highpointuniversity,HIGH POINT UNIVERSITY,High Point,NC
283,jamesspruntcommunitycollege,JAMES SPRUNT COMMUNITY COLLEGE,Kenansville,NC
285,johnstoncommunitycollege,JOHNSTON COMMUNITY COLLEGE,Smithfield,NC
290,louisburgcollege,LOUISBURG COLLEGE,Louisburg,NC
291,marshilluniversity,MARS HILL UNIVERSITY,Mars Hill,NC
292,maylandcommunitycollege,MAYLAND COMMUNITY COLLEGE,Spruce Pine,NC
